Date,^GSPC,^RUT
2021-01-25,3855.360107421875,2163.27001953125
2021-01-26,3849.6201171875,2149.860107421875
2021-01-27,3750.77001953125,2108.699951171875
2021-01-28,3787.3798828125,2106.610107421875
2021-01-29,3714.239990234375,2073.639892578125
2021-02-01,3773.860107421875,2126.159912109375
2021-02-02,3826.31005859375,2151.43994140625
2021-02-03,3830.169921875,2159.699951171875
2021-02-04,3871.739990234375,2202.419921875
2021-02-05,3886.830078125,2233.330078125
2021-02-08,3915.590087890625,2289.760009765625
2021-02-09,3911.22998046875,2299.0
2021-02-10,3909.8798828125,2282.43994140625
2021-02-11,3916.3798828125,2285.320068359375
2021-02-12,3934.830078125,2289.360107421875
2021-02-16,3932.590087890625,2272.889892578125
2021-02-17,3931.330078125,2256.110107421875
2021-02-18,3913.969970703125,2218.389892578125
2021-02-19,3906.7099609375,2266.68994140625
2021-02-22,3876.5,2251.070068359375
2021-02-23,3881.3701171875,2231.31005859375
2021-02-24,3925.429931640625,2284.3798828125
2021-02-25,3829.340087890625,2200.169921875
2021-02-26,3811.14990234375,2201.050048828125
2021-03-01,3901.820068359375,2275.320068359375
2021-03-02,3870.2900390625,2231.510009765625
2021-03-03,3819.719970703125,2207.7900390625
2021-03-04,3768.469970703125,2146.919921875
2021-03-05,3841.93994140625,2192.2099609375
2021-03-08,3821.35009765625,2202.97998046875
2021-03-09,3875.43994140625,2245.06005859375
2021-03-10,3898.81005859375,2285.679931640625
2021-03-11,3939.340087890625,2338.5400390625
2021-03-12,3943.340087890625,2352.7900390625
2021-03-15,3968.93994140625,2360.169921875
2021-03-16,3962.7099609375,2319.52001953125
2021-03-17,3974.1201171875,2336.389892578125
2021-03-18,3915.4599609375,2267.590087890625
2021-03-19,3913.10009765625,2287.550048828125
2021-03-22,3940.590087890625,2266.840087890625
2021-03-23,3910.52001953125,2185.68994140625
2021-03-24,3889.139892578125,2134.27001953125
2021-03-25,3909.52001953125,2183.1201171875
2021-03-26,3974.5400390625,2221.47998046875
2021-03-29,3971.090087890625,2158.679931640625
2021-03-30,3958.550048828125,2195.800048828125
2021-03-31,3972.889892578125,2220.52001953125
2021-04-01,4019.8701171875,2253.89990234375
2021-04-05,4077.909912109375,2264.889892578125
2021-04-06,4073.93994140625,2259.14990234375
